id,estatus,fecha_nacimiento,cp,auto
14468,cerrado,10/07/1939,38600,2019
18542,no_interesado,23/04/1940,8900,2019
19155,cerrado,12/11/1943,53240,2019
20204,contrato_otro_lado,20/04/1949,91788,2019
14529,duplicado,06/02/1950,37178,2019
14528,contrato_otro_lado,06/02/1950,37178,2019
19257,no_contesta,09/01/1951,77560,2019
20529,en_seguimiento,14/08/1952,27085,2019
18382,cerrado,20/12/1953,57200,2019
19796,cerrado,01/12/1954,28200,2019
20477,duplicado,30/12/1955,87000,2019
20475,contrato_otro_lado,30/12/1955,87000,2019
18367,en_seguimiento,27/04/1956,62020,2019
18994,en_seguimiento,06/07/1956,13420,2019
20488,asignado,14/02/1957,20110,2019
18042,no_interesado,16/06/1958,25017,2019
19071,cerrado,03/10/1958,9890,2019
20615,asignado,05/03/1959,8830,2019
17581,equivocado,19/05/1959,25294,2019
19929,no_interesado,25/10/1959,64190,2019
18684,contrato_otro_lado,27/05/1960,78270,2019
18686,contrato_otro_lado,30/10/1963,9560,2019
20549,contrato_otro_lado,27/02/1966,6720,2019
20323,no_interesado,17/01/1968,33760,2019
18752,contrato_otro_lado,20/05/1968,13360,2019
18751,duplicado,20/05/1968,13360,2019
15108,no_interesado,30/08/1968,36730,2019
15417,equivocado,06/05/1969,67193,2019
20699,no_interesado,09/05/1969,70614,2019
15743,contrato_otro_lado,23/07/1969,4600,2019
16522,contrato_otro_lado,01/01/1970,68297,2019
20487,contrato_otro_lado,10/02/1970,55717,2019
19609,no_interesado,12/11/1970,77712,2019
20240,posible_venta,20/05/1971,89190,2019
19163,no_interesado,26/06/1972,64346,2019
19677,no_interesado,25/09/1972,44700,2019
18868,no_interesado,05/10/1973,1640,2019
18708,duplicado,16/12/1973,29010,2019
18707,contrato_otro_lado,16/12/1973,29010,2019
19470,en_seguimiento,27/12/1973,52960,2019
18665,contrato_otro_lado,01/04/1974,76903,2019
17685,no_interesado,30/05/1974,77536,2019
19490,cerrado,24/07/1974,4530,2019
19260,cerrado,27/07/1974,1470,2019
16782,contrato_otro_lado,02/02/1975,77500,2019
18922,equivocado,11/03/1975,23434,2019
19699,duplicado,15/12/1975,97168,2019
19698,no_interesado,15/12/1975,97168,2019
20629,asignado,26/01/1976,36710,2019
18667,asignado,03/03/1976,97000,2019
19425,no_interesado,22/08/1976,31650,2019
19671,equivocado,16/09/1976,1460,2019
20526,asignado,24/12/1976,15640,2019
20573,posible_venta,22/02/1977,13360,2019
16081,asignado,09/06/1978,55010,2019
12598,contrato_otro_lado,10/07/1978,42700,2019
20716,en_seguimiento,29/08/1978,75200,2019
19145,contrato_otro_lado,31/08/1979,90740,2019
19416,no_interesado,14/12/1979,46400,2019
20593,cerrado,04/06/1980,5100,2019
12844,no_interesado,09/08/1980,14350,2019
18788,no_interesado,14/10/1980,44100,2019
18154,contrato_otro_lado,23/03/1981,97249,2019
20283,equivocado,16/04/1981,45130,2019
20282,duplicado,16/04/1981,45130,2019
19222,equivocado,22/05/1981,54740,2019
17367,no_interesado,25/04/1982,57310,2019
20755,asignado,13/06/1982,67190,2019
20454,contrato_otro_lado,05/07/1982,98000,2019
20288,no_interesado,09/07/1982,14429,2019
16092,equivocado,01/01/1983,31350,2019
20013,en_seguimiento,12/01/1983,91090,2019
18070,contrato_otro_lado,31/05/1983,66004,2019
16735,no_interesado,25/07/1983,9240,2019
19268,no_interesado,30/07/1983,40040,2019
19267,duplicado,30/07/1983,40040,2019
19991,en_seguimiento,19/11/1983,76230,2019
18368,contrato_otro_lado,20/12/1983,91900,2019
20276,asignado,10/04/1984,40803,2019
19737,no_interesado,11/04/1984,45020,2019
20729,en_seguimiento,12/09/1984,1220,2019
20309,asignado,10/11/1984,6700,2019
18256,cerrado,24/11/1984,94299,2019
